CO2,Borough,Sector
,Havering,Waste(CO2e)
,Hillingdon,Waste(CO2e)
,Hounslow,Waste(CO2e)
,Islington,Waste(CO2e)
,Kensington and Chelsea,Waste(CO2e)
,Kingston,Waste(CO2e)
,Lambeth,Waste(CO2e)
,Lewisham,Waste(CO2e)
,Merton,Waste(CO2e)
,Newham,Waste(CO2e)
,Redbridge,Waste(CO2e)
,Richmond,Waste(CO2e)
,Southwark,Waste(CO2e)
,Sutton,Waste(CO2e)
,Tower Hamlets,Waste(CO2e)
,Waltham Forest,Waste(CO2e)
,Wandsworth,Waste(CO2e)
,Westminster,Waste(CO2e)
483,Unapportioned,Waste(CO2e)
483,Grand Total (kt),Waste(CO2e)
,Barking and Dagenham,Fugitive_emissions(CO2e)
,Barnet,Fugitive_emissions(CO2e)
,Bexley,Fugitive_emissions(CO2e)
,Brent,Fugitive_emissions(CO2e)
,Bromley,Fugitive_emissions(CO2e)
,Camden,Fugitive_emissions(CO2e)
,City of London,Fugitive_emissions(CO2e)
,Croydon,Fugitive_emissions(CO2e)
,Ealing,Fugitive_emissions(CO2e)
,Enfield,Fugitive_emissions(CO2e)
,Greenwich,Fugitive_emissions(CO2e)
,Hackney,Fugitive_emissions(CO2e)
,Hammersmith and Fulham,Fugitive_emissions(CO2e)
,Haringey,Fugitive_emissions(CO2e)
,Harrow,Fugitive_emissions(CO2e)
,Havering,Fugitive_emissions(CO2e)
,Hillingdon,Fugitive_emissions(CO2e)
,Hounslow,Fugitive_emissions(CO2e)
,Islington,Fugitive_emissions(CO2e)
,Kensington and Chelsea,Fugitive_emissions(CO2e)
,Kingston,Fugitive_emissions(CO2e)
,Lambeth,Fugitive_emissions(CO2e)
,Lewisham,Fugitive_emissions(CO2e)
,Merton,Fugitive_emissions(CO2e)
,Newham,Fugitive_emissions(CO2e)
,Redbridge,Fugitive_emissions(CO2e)
,Richmond,Fugitive_emissions(CO2e)
,Southwark,Fugitive_emissions(CO2e)
,Sutton,Fugitive_emissions(CO2e)
,Tower Hamlets,Fugitive_emissions(CO2e)
,Waltham Forest,Fugitive_emissions(CO2e)
,Wandsworth,Fugitive_emissions(CO2e)
,Westminster,Fugitive_emissions(CO2e)
193,Unapportioned,Fugitive_emissions(CO2e)
193,Grand Total (kt),Fugitive_emissions(CO2e)
